      Date,          T,          P,         Ep,          I,         Ea,       Dsum,         Db,        Dmp
1993-01-01,  12.077233,   4.455259,   0.724634,   0.000000,   0.724634,   0.011138,   0.011138,   0.000000
1993-01-02,   8.138568,   5.909303,   0.488314,   0.000000,   0.488314,   0.123691,   0.123691,   0.000000
1993-01-03,  18.206172,   3.234672,   1.092370,   0.000000,   1.092370,   0.447598,   0.447598,   0.000000
1993-01-04,   8.968867,   2.073172,   0.538132,   0.000000,   0.538132,   0.920228,   0.920228,   0.000000
1993-01-05,  13.665854,  11.623134,   0.819951,   0.000000,   0.819951,   1.394895,   1.394895,   0.000000
1993-01-06,  10.139424,   5.402462,   0.608365,   0.000000,   0.608365,   1.958257,   1.958257,   0.000000
1993-01-07,  10.061942,   0.000000,   0.603717,   0.000000,   0.603717,   2.643798,   2.643798,   0.000000
1993-01-08,  17.287164,   5.089798,   1.037230,   0.000000,   1.037230,   3.188534,   3.188534,   0.000000
1993-01-09,   8.994339,   0.000000,   0.539660,   0.000000,   0.539660,   3.451965,   3.451965,   0.000000
1993-01-10,   1.933852,  17.075190,   0.116031,   0.000000,   0.116031,   3.484783,   3.484783,   0.000000
1993-01-11,  16.039362,   6.537761,   0.962362,   0.000000,   0.962362,   3.658767,   3.658767,   0.000000
1993-01-12,  11.803352,   0.000000,   0.708201,   0.000000,   0.708201,   4.154864,   4.154864,   0.000000
1993-01-13,   7.472275,   0.000000,   0.448337,   0.000000,   0.448337,   4.587438,   4.587438,   0.000000
1993-01-14,   9.446078,   0.000000,   0.566765,   0.000000,   0.566765,   4.618070,   4.618070,   0.000000
1993-01-15,   9.074459,   0.969918,   0.544468,   0.000000,   0.544468,   4.223560,   4.223560,   0.000000
1993-01-16,  14.286402,  13.588387,   0.857184,   0.000000,   0.857184,   3.610373,   3.610373,   0.000000
1993-01-17,  21.110232,   2.981473,   1.266614,   0.000000,   1.266614,   3.222661,   3.222661,   0.000000
1993-01-18,   7.906379,  13.201693,   0.474383,   0.000000,   0.474383,   3.234594,   3.234594,   0.000000
1993-01-19,  12.254339,   4.569413,   0.735260,   0.000000,   0.735260,   3.610040,   3.610040,   0.000000
1993-01-20,  16.887290,   1.812570,   1.013237,   0.000000,   1.013237,   4.189700,   4.189700,   0.000000
1993-01-21,   9.876911,   0.000000,   0.592615,   0.000000,   0.592615,   4.599709,   4.599709,   0.000000
1993-01-22,  10.100092,   0.000000,   0.606005,   0.000000,   0.606005,   4.598426,   4.598426,   0.000000
1993-01-23,  15.170393,   6.324760,   0.910224,   0.000000,   0.910224,   4.200715,   4.200715,   0.000000
1993-01-24,  10.213031,   1.802249,   0.612782,   0.000000,   0.612782,   3.676198,   3.676198,   0.000000
1993-01-25,  16.907859,   1.212771,   1.014472,   0.000000,   1.014472,   3.225286,   3.225286,   0.000000
1993-01-26,   8.879872,   2.737303,   0.532792,   0.000000,   0.532792,   2.830618,   2.830618,   0.000000
1993-01-27,   7.429920,   8.310912,   0.445795,   0.000000,   0.445795,   2.503879,   2.503879,   0.000000
1993-01-28,   7.405677,   0.000000,   0.444341,   0.000000,   0.444341,   2.389548,   2.389548,   0.000000
1993-01-29,  17.335778,   0.000000,   1.040147,   0.000000,   1.040147,   2.430092,   2.430092,   0.000000
1993-01-30,  16.959386,   3.741694,   1.017563,   0.000000,   1.017563,   2.389816,   2.389816,   0.000000
1993-01-31,  10.588157,   1.399823,   0.635289,   0.000000,   0.635289,   2.238580,   2.238580,   0.000000
1993-02-01,  12.587012,   0.000000,   0.755221,   0.000000,   0.755221,   2.044616,   2.044616,   0.000000
1993-02-02,   8.055075,   3.570345,   0.483305,   0.000000,   0.483305,   1.808468,   1.808468,   0.000000
1993-02-03,  15.334687,   0.000000,   0.920081,   0.000000,   0.920081,   1.586336,   1.586336,   0.000000
1993-02-04,  13.965265,   0.000000,   0.837916,   0.000000,   0.837916,   1.393913,   1.393913,   0.000000
