Date,       P,      Ep,       I,      Ea,    Dsum,      Db,     Dmp
1993,  1139.7,   226.8,     0.0,   226.5,   904.9,   904.9,     0.0
1994,  1153.0,   220.6,     0.0,   220.6,   932.5,   932.5,     0.0
1995,  1154.1,   226.0,     0.0,   226.0,   919.3,   919.3,     0.0
1996,  1193.2,   230.9,     0.0,   230.9,   968.7,   968.7,     0.0
1997,  1203.7,   218.9,     0.0,   218.9,   968.2,   968.2,     0.0
1998,  1193.0,   236.5,     0.0,   236.5,   960.8,   960.8,     0.0
1999,  1310.9,   217.1,     0.0,   217.1,  1105.7,  1105.7,     0.0
2000,  1212.2,   230.2,     0.0,   230.2,   984.7,   984.7,     0.0
2001,  1249.5,   223.7,     0.0,   223.7,  1018.7,  1018.7,     0.0
2002,  1189.1,   231.5,     0.0,   231.5,   962.5,   962.5,     0.0
2003,  1158.4,   221.5,     0.0,   221.5,   939.8,   939.8,     0.0
2004,  1195.1,   242.7,     0.0,   242.7,   952.8,   952.8,     0.0
2005,  1170.8,   230.1,     0.0,   230.1,   931.3,   931.3,     0.0
2006,  1194.2,   228.9,     0.0,   228.9,   959.8,   959.8,     0.0
2007,  1252.8,   222.3,     0.0,   222.3,  1034.9,  1034.9,     0.0
2008,  1151.9,   229.9,     0.0,   229.9,   933.3,   933.3,     0.0
2009,  1140.7,   228.9,     0.0,   228.9,   897.8,   897.8,     0.0
2010,  1236.5,   222.7,     0.0,   222.7,  1027.2,  1027.2,     0.0
2011,  1175.7,   232.5,     0.0,   232.5,   929.3,   929.3,     0.0
2012,  1144.3,   237.5,     0.0,   237.5,   918.7,   918.7,     0.0
2013,  1082.9,   230.5,     0.0,   230.5,   847.5,   847.5,     0.0
2014,  1105.5,   230.6,     0.0,   230.6,   876.1,   876.1,     0.0
2015,  1035.8,   221.1,     0.0,   221.1,   816.3,   816.3,     0.0
2016,  1221.3,   236.7,     0.0,   236.7,   987.6,   987.6,     0.0
2017,  1350.3,   232.8,     0.0,   232.8,  1110.5,  1110.5,     0.0
2018,  1037.5,   221.8,     0.0,   221.8,   818.1,   818.1,     0.0
2019,  1091.6,   236.4,     0.0,   236.4,   846.0,   846.0,     0.0
2020,  1241.4,   226.5,     0.0,   226.5,  1010.6,  1010.6,     0.0
2021,  1126.3,   216.9,     0.0,   216.9,   915.6,   915.6,     0.0
2022,  1178.5,   231.3,     0.0,   231.3,   953.5,   953.5,     0.0
2023,  1142.5,   229.1,     0.0,   229.1,   904.7,   904.7,     0.0
