      Date,          T,          P,         Ep,          I,         Ea,       Dsum,         Db,        Dmp
1993-01-01,  12.077233,   4.455259,   1.086951,   0.000000,   1.577371,   2.377888,   2.377888,   0.000000
1993-01-02,   8.138568,   5.909303,   0.732471,   0.000000,   1.062954,   4.355930,   4.355930,   0.000000
1993-01-03,  18.206172,   3.234672,   1.638556,   0.000000,   2.138556,   0.765634,   0.765634,   0.000000
1993-01-04,   8.968867,   2.073172,   0.807198,   0.000000,   1.171396,   0.401775,   0.401775,   0.000000
1993-01-05,  13.665854,  11.623134,   1.229927,   0.000000,   1.729927,   9.529008,   9.529008,   0.000000
1993-01-06,  10.139424,   5.402462,   0.912548,   0.000000,   1.324279,   3.578183,   3.578183,   0.000000
1993-01-07,  10.061942,   0.000000,   0.905575,   0.000000,   0.993844,  -0.993844,  -0.993844,   0.000000
1993-01-08,  17.287164,   5.089798,   1.555845,   0.000000,   2.055845,   2.533953,   2.533953,   0.000000
1993-01-09,   8.994339,   0.000000,   0.809491,   0.000000,   0.809491,  -0.809491,  -0.809491,   0.000000
1993-01-10,   1.933852,  17.075190,   0.174047,   0.000000,   0.252575,  16.322616,  16.322616,   0.000000
1993-01-11,  16.039362,   6.537761,   1.443543,   0.000000,   1.943543,   4.515691,   4.515691,   0.000000
1993-01-12,  11.803352,   0.000000,   1.062302,   0.000000,   1.062302,  -1.062302,  -1.062302,   0.000000
1993-01-13,   7.472275,   0.000000,   0.672505,   0.000000,   0.672505,  -0.672505,  -0.672505,   0.000000
1993-01-14,   9.446078,   0.000000,   0.850147,   0.000000,   0.850147,  -0.850147,  -0.850147,   0.000000
1993-01-15,   9.074459,   0.969918,   0.816701,   0.000000,   1.185187,  -0.715270,  -0.715270,   0.000000
1993-01-16,  14.286402,  13.588387,   1.285776,   0.000000,   1.785776,  11.434125,  11.434125,   0.000000
1993-01-17,  21.110232,   2.981473,   1.899921,   0.000000,   2.399921,   0.081552,   0.081552,   0.000000
1993-01-18,   7.906379,  13.201693,   0.711574,   0.000000,   1.032628,  11.669065,  11.669065,   0.000000
1993-01-19,  12.254339,   4.569413,   1.102891,   0.000000,   1.600502,   2.647857,   2.647857,   0.000000
1993-01-20,  16.887290,   1.812570,   1.519856,   0.000000,   2.019856,  -0.704897,  -0.704897,   0.000000
1993-01-21,   9.876911,   0.000000,   0.888922,   0.000000,   0.888922,  -0.888922,  -0.888922,   0.000000
1993-01-22,  10.100092,   0.000000,   0.909008,   0.000000,   0.909008,  -0.909008,  -0.909008,   0.000000
1993-01-23,  15.170393,   6.324760,   1.365335,   0.000000,   1.865335,   3.959425,   3.959425,   0.000000
1993-01-24,  10.213031,   1.802249,   0.919173,   0.000000,   1.333893,  -0.031644,  -0.031644,   0.000000
1993-01-25,  16.907859,   1.212771,   1.521707,   0.000000,   2.021707,  -1.223657,  -1.223657,   0.000000
1993-01-26,   8.879872,   2.737303,   0.799188,   0.000000,   1.159773,   1.077530,   1.077530,   0.000000
