Date,       P,      Ep,       I,      Ea,    Dsum,      Db,     Dmp
1993,  1139.7,   409.1,     0.0,   557.3,   415.0,   415.0,     0.0
1994,  1153.0,   396.4,     0.0,   536.6,   457.9,   457.9,     0.0
1995,  1154.1,   407.7,     0.0,   570.3,   405.9,   405.9,     0.0
1996,  1193.2,   412.6,     0.0,   549.5,   489.1,   489.1,     0.0
1997,  1203.7,   395.6,     0.0,   556.8,   469.6,   469.6,     0.0
1998,  1193.0,   425.2,     0.0,   583.3,   435.7,   435.7,     0.0
1999,  1310.9,   390.3,     0.0,   560.7,   561.0,   561.0,     0.0
2000,  1212.2,   415.0,     0.0,   566.7,   475.7,   475.7,     0.0
2001,  1249.5,   403.8,     0.0,   555.9,   520.8,   520.8,     0.0
2002,  1189.1,   416.6,     0.0,   571.7,   439.4,   439.4,     0.0
2003,  1158.4,   398.8,     0.0,   549.0,   441.3,   441.3,     0.0
2004,  1195.1,   435.0,     0.0,   602.3,   410.3,   410.3,     0.0
2005,  1170.8,   414.7,     0.0,   575.7,   418.8,   418.8,     0.0
2006,  1194.2,   410.4,     0.0,   564.1,   459.6,   459.6,     0.0
2007,  1252.8,   398.6,     0.0,   537.2,   560.0,   560.0,     0.0
2008,  1151.9,   413.4,     0.0,   554.8,   437.7,   437.7,     0.0
2009,  1140.7,   411.9,     0.0,   556.2,   421.7,   421.7,     0.0
2010,  1236.5,   402.5,     0.0,   551.5,   513.9,   513.9,     0.0
2011,  1175.7,   417.0,     0.0,   567.7,   436.1,   436.1,     0.0
2012,  1144.3,   426.1,     0.0,   571.9,   407.7,   407.7,     0.0
2013,  1082.9,   415.0,     0.0,   572.0,   338.9,   338.9,     0.0
2014,  1105.5,   416.0,     0.0,   575.0,   359.9,   359.9,     0.0
2015,  1035.8,   399.3,     0.0,   552.3,   320.0,   320.0,     0.0
2016,  1221.3,   424.8,     0.0,   576.1,   476.2,   476.2,     0.0
2017,  1350.3,   418.5,     0.0,   570.8,   607.8,   607.8,     0.0
2018,  1037.5,   397.7,     0.0,   545.0,   331.4,   331.4,     0.0
2019,  1091.6,   426.4,     0.0,   567.0,   363.2,   363.2,     0.0
2020,  1241.4,   408.2,     0.0,   562.9,   506.0,   506.0,     0.0
2021,  1126.3,   391.2,     0.0,   529.8,   442.4,   442.4,     0.0
2022,  1178.5,   416.3,     0.0,   569.5,   438.7,   438.7,     0.0
2023,  1142.5,   413.0,     0.0,   559.1,   421.6,   421.6,     0.0
